Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Inventory
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,4146987
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,4374086
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,4138550
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,4495266
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,4724781
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,3975625
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,4007602
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,3852888
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,4014860
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,4332636
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,4330547
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,3967610
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,3715044
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,4383874
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,4004222
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,3832571
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,4066011
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,3842056
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,4046745
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,3958070
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,4073888
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,4582521
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,4125293
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,3966549
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,4391027
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,4245636
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,3740739
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,4037953
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,4404073
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,3901256
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,3788962
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,3810081
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,4314335
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,4313450
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,4373402
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,4420393
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,3744897
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,3942141
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,4196346
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,3800735
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,4332041
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,3870195
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,4950197
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,4899277
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,4864411
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,5155593
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,5763353
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,4911059
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,4922268
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,4571453
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,3927947
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,3685720
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,3967418
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,4454899
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,4419290
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,4083514
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,4911395
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,4276460
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,4087642
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,4714462
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,4631696
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,4788491
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,4616637
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,4370055
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,4132510
1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,3919719
1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,4640074
1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,4165418
1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,4652991
1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,4383737
1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,4422997
1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,4766608
1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,4173754
1,2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,3994250
1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,3983180
1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,3873278
1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,3764914
