ds,yhat,yhat_lower,yhat_upper,Store
2010-02-05,1575623.524031811,1435134.4312208758,1716036.7622825345,1
2010-02-12,1630308.0283854888,1486717.981454936,1774557.4459827938,1
2010-02-19,1588215.5188715858,1449424.078096182,1718134.7394390134,1
2010-02-26,1522571.0486802084,1387436.4891489097,1662965.3304119424,1
2010-03-05,1488489.5780139854,1340588.976044597,1622390.0922588785,1
2010-03-12,1489302.1011831148,1350811.4951758378,1629721.9120806162,1
2010-03-19,1502662.7253890058,1373870.839215304,1632739.32160069,1
2010-03-26,1514853.5994033373,1374937.7667090034,1650515.1212042046,1
2010-04-02,1523885.52415239,1395113.4929804513,1656175.137671334,1
2010-04-09,1524494.9532892345,1388254.005146578,1661069.9157149787,1
2010-04-16,1508105.3122671247,1362766.1652208967,1630798.309179067,1
2010-04-23,1478937.2994917359,1344157.3600476536,1617803.6723103642,1
2010-04-30,1457891.9528596909,1332145.6900314537,1605735.2539255691,1
2010-05-07,1461887.6265085805,1330155.760444171,1591859.5448408658,1
2010-05-14,1483470.6146381448,1350747.0415029011,1622101.2138974424,1
2010-05-21,1499095.7088871512,1365154.4965302206,1636700.5622977135,1
2010-05-28,1497295.749046681,1358130.1234762254,1640464.5458556984,1
2010-06-04,1490465.7098180805,1351591.256265337,1624409.2259510916,1
2010-06-11,1494804.3619406142,1353842.8076207468,1630850.4046785713,1
2010-06-18,1505350.9721017089,1370580.0276392947,1637163.3550721072,1
2010-06-25,1500167.620088416,1364469.997164309,1636083.319605512,1
2010-07-02,1469213.1257290177,1325435.886697235,1601159.5316980735,1
2010-07-09,1430225.8974309063,1286551.0676970491,1559795.2648096883,1
2010-07-16,1410447.0124045904,1273987.7845653046,1553237.9310108928,1
2010-07-23,1417543.5912455511,1291345.1654982795,1549365.525477964,1
2010-07-30,1436325.9395351077,1295252.6660173575,1564949.8826700528,1
2010-08-06,1452393.9759306796,1317524.353607756,1597685.8482618118,1
2010-08-13,1468050.2925627418,1325927.458682039,1605453.6117123726,1
2010-08-20,1488754.146834316,1345357.725957804,1624619.977266132,1
2010-08-27,1502435.1418363014,1364994.574805776,1640539.9697321856,1
2010-09-03,1487082.4689267513,1354335.573307872,1615741.8723605075,1
2010-09-10,1442568.4026577678,1302082.7914201557,1585986.7241303283,1
2010-09-17,1402911.3763790429,1265261.2341553515,1544358.053574886,1
2010-09-24,1403717.6787288147,1274068.6442532763,1536433.8973058818,1
2010-10-01,1438943.4409666893,1306321.7309580294,1572872.7384920924,1
2010-10-08,1463539.4463111137,1321578.4064299387,1600105.2692711821,1
2010-10-15,1446680.094682044,1307622.5275964441,1591955.8196909719,1
2010-10-22,1413777.2067555173,1278167.3512883135,1547382.9088194852,1
2010-10-29,1421701.0267113023,1288639.3349743304,1544969.9858152748,1
2010-11-05,1491592.7711918529,1351554.420372058,1620064.3119349761,1
2010-11-12,1581018.8513205345,1444037.681352494,1722567.820396758,1
2010-11-19,1634690.4309007048,1497220.3600731639,1757635.0511728905,1
2010-11-26,1655069.9471075286,1517932.3376884738,1787743.2686573034,1
2010-12-03,1701506.425735341,1574213.8672626514,1837695.9246726937,1
2010-12-10,1808095.1087098494,1664085.9356220006,1959634.5801730822,1
2010-12-17,1914815.8747705442,1783324.3899164817,2052103.083062391,1
2010-12-24,1904810.7513663727,1768248.7796725999,2034546.9664200149,1
2010-12-31,1723909.6507283763,1581680.7256160234,1859211.289863307,1
2011-01-07,1457192.6922166308,1313476.3546635164,1588881.713769419,1
2011-01-14,1272348.5600055018,1132788.430646614,1410929.8590325497,1
2011-01-21,1278214.2208690492,1138703.101926267,1409808.3725749885,1
2011-01-28,1436828.1529573929,1304456.7512657302,1574002.0293816556,1
2011-02-04,1610369.4421449504,1467135.7219900729,1744081.7460527013,1
2011-02-11,1686475.8376574758,1555200.3444869153,1834026.3013142862,1
2011-02-18,1657015.8905998068,1524917.3614579218,1798482.8553291052,1
2011-02-25,1590190.7802847847,1453567.9944099528,1727265.2942501137,1
2011-03-04,1548873.5640643705,1416645.5725949763,1685292.3796100977,1
2011-03-11,1544964.0388634566,1405203.9238044259,1694205.4283371842,1
2011-03-18,1557590.3095564754,1422677.4529104298,1691718.2842956455,1
2011-03-25,1570276.9634735538,1440880.9708584647,1708337.3359536687,1
2011-04-01,1580018.757339988,1442632.5899319442,1712517.8987015623,1
2011-04-08,1582847.7884033287,1451657.4469167287,1719859.1701460057,1
2011-04-15,1569754.5156462104,1437362.7162611787,1695708.2754669888,1
2011-04-22,1541656.9017348115,1403372.0740008089,1679622.9811629828,1
2011-04-29,1517432.5223816275,1390855.9930538477,1657339.5217255556,1
2011-05-06,1516711.986990281,1391561.0527093657,1656251.8292726188,1
2011-05-13,1536762.7426866184,1396969.25120422,1672568.15294182,1
2011-05-20,1554984.7071816847,1422983.9002007341,1693503.022230264,1
2011-05-27,1555965.940087143,1417066.1839947817,1693026.3964303597,1
2011-06-03,1548539.311933972,1419029.5633137024,1688583.018780066,1
2011-06-10,1550475.400582013,1415172.963891606,1683036.2749376148,1
2011-06-17,1561355.756444201,1427331.6470766847,1689182.5163698993,1
2011-06-24,1560452.1168092357,1426783.2724999688,1706332.878810251,1
2011-07-01,1533543.122440592,1398927.8169836514,1675991.435411282,1
2011-07-08,1493830.2774412362,1356951.9511407292,1633168.9395831795,1
2011-07-15,1469238.8822011647,1339222.671468533,1591637.2020514898,1
2011-07-22,1472219.1728258475,1337408.0599063812,1613558.334643019,1
2011-07-29,1490354.1990471785,1357669.7306523933,1632700.567317926,1
2011-08-05,1507202.625584831,1366192.2447590528,1631951.1277945272,1
2011-08-12,1522277.5194242443,1390345.3687009192,1652507.942115649,1
