ds,yhat,yhat_lower,yhat_upper,Store,yhat_change_pct,volatility,anomaly,risk_score,risk_level,low_sales_threshold,high_sales_threshold,action,reason
2010-02-05,1575623.524031811,1435134.4312208758,1716036.7622825345,1,,,False,,LOW,1444213.0794674782,1733433.0147982037,No Action,First week or insufficient historical data to assess change.
2010-02-12,1630308.0283854888,1486717.981454936,1774557.4459827938,1,3.470658029638174,,False,,LOW,1444213.0794674782,1733433.0147982037,No Action,Forecast is normal. Expected weekly sales are within the store’s normal range (1.44M–1.73M).
2010-02-19,1588215.5188715858,1449424.078096182,1718134.7394390134,1,-2.581874638474768,28637.774318867556,False,4.385016213316856,LOW,1444213.0794674782,1733433.0147982037,No Action,Forecast is normal. Expected weekly sales are within the store’s normal range (1.44M–1.73M).
2010-02-26,1522571.0486802084,1387436.4891489097,1662965.3304119424,1,-4.1332218084619505,54295.84486849289,False,7.699284943286266,LOW,1444213.0794674782,1733433.0147982037,No Action,Forecast is normal. Expected weekly sales are within the store’s normal range (1.44M–1.73M).
2010-03-05,1488489.5780139854,1340588.976044597,1622390.0922588783,1,-2.2384157833399865,50688.60225174387,False,5.6437874433401225,LOW,1444213.0794674782,1733433.0147982037,No Action,Forecast is normal. Expected weekly sales are within the store’s normal range (1.44M–1.73M).
2010-03-12,1489302.1011831148,1350811.4951758378,1629721.9120806162,1,0.054587091581348446,19446.635116978836,False,1.3603419885582786,LOW,1444213.0794674782,1733433.0147982037,No Action,Forecast is normal. Expected weekly sales are within the store’s normal range (1.44M–1.73M).
2010-03-19,1502662.7253890058,1373870.839215304,1632739.32160069,1,0.8971063825987446,7958.691052193462,False,1.4267455968897051,LOW,1444213.0794674782,1733433.0147982037,No Action,Forecast is normal. Expected weekly sales are within the store’s normal range (1.44M–1.73M).
2010-03-26,1514853.599403337,1374937.7667090034,1650515.1212042046,1,0.8112847818977587,12780.210937894579,False,1.6549445878967266,LOW,1444213.0794674782,1733433.0147982037,No Action,Forecast is normal. Expected weekly sales are within the store’s normal range (1.44M–1.73M).
2010-04-02,1523885.52415239,1395113.492980451,1656175.137671334,1,0.596224265672296,10650.510639221731,False,1.2951291683319441,LOW,1444213.0794674782,1733433.0147982037,No Action,Forecast is normal. Expected weekly sales are within the store’s normal range (1.44M–1.73M).
2010-04-09,1524494.9532892343,1388254.005146578,1661069.9157149787,1,0.0399917925057558,5399.116799665592,False,0.39414952769645056,LOW,1444213.0794674782,1733433.0147982037,No Action,Forecast is normal. Expected weekly sales are within the store’s normal range (1.44M–1.73M).
2010-04-16,1508105.312267125,1362766.1652208967,1630798.309179067,1,-1.0750866040420304,9291.634444043399,False,1.6911997075808904,LOW,1444213.0794674782,1733433.0147982037,No Action,Forecast is normal. Expected weekly sales are within the store’s normal range (1.44M–1.73M).
2010-04-23,1478937.299491736,1344157.3600476536,1617803.6723103642,1,-1.9340832857050794,23075.57554945507,False,3.494364141248138,LOW,1444213.0794674782,1733433.0147982037,No Action,Forecast is normal. Expected weekly sales are within the store’s normal range (1.44M–1.73M).
