Store,Date,Predicted_Weekly_Sales,Current_Stock,Safety_Stock,EOQ,Stock_Risk,Risk_Flag
21,2012-10-26,833622.4010362856,1839535,300438.56,1472.22,128148.36,Low Stock
24,2012-10-26,1502818.1789476192,4035294,391426.55,1976.7,-638231.09,Normal
32,2012-10-26,1302562.3733018432,3435753,322056.69,1840.29,-508571.56,Normal
9,2012-10-26,595804.3968670935,1555338,161075.11,1244.63,-202654.1,Normal
17,2012-10-26,1014119.6317459488,2828040,261726.87,1623.8,-538073.87,Normal
28,2012-10-26,1459576.8258038708,3402306,424125.9,1948.05,-59026.45,Normal
36,2012-10-26,422777.15765794157,732360,141699.3,1048.44,254893.62,Low Stock
2,2012-10-26,2096276.7138629688,5393559,554623.58,2334.59,-646381.99,Normal
39,2012-10-26,1610902.6864690515,4244022,507447.62,2046.55,-514769.01,Normal
43,2012-10-26,709556.4156760327,1868905,94734.46,1358.25,-355057.71,Normal
6,2012-10-26,1731052.2419220905,4027937,495918.96,2121.49,-69913.56,Normal
13,2012-10-26,2261202.557117972,5582758,619547.93,2424.69,-440804.96,Normal
4,2012-10-26,2396827.7888208376,6542229,621168.39,2496.35,-1127405.03,Normal
16,2012-10-26,593484.935534553,1484959,200139.46,1242.2,-97849.67,Normal
11,2012-10-26,1502216.8435147337,3387992,386965.48,1976.3,3407.17,Low Stock
41,2012-10-26,1438322.3755325736,4154024,438472.42,1933.81,-838906.83,Normal
33,2012-10-26,292645.03744963993,673123,56313.04,872.28,-31519.89,Normal
12,2012-10-26,1121398.6795376865,2427048,324739.27,1707.52,140488.63,Low Stock
30,2012-10-26,490926.3197130962,1163905,53225.27,1129.78,-128827.09,Normal
15,2012-10-26,686075.666682698,1590655,281271.2,1335.59,62767.53,Low Stock
19,2012-10-26,1586850.7589222854,3586203,447375.65,2031.21,34874.17,Low Stock
26,2012-10-26,1138625.8149596055,2786150,257686.15,1720.59,-251212.22,Normal
1,2012-10-26,1740638.1738967043,4416073,363973.69,2127.36,-570822.96,Normal
44,2012-10-26,340907.2897114681,1030113,57782.89,941.47,-290515.53,Normal
38,2012-10-26,429786.99110561516,1238326,99797.49,1057.09,-278954.53,Normal
7,2012-10-26,631780.2955740932,1288567,262712.83,1281.65,237706.42,Low Stock
8,2012-10-26,1024694.0364810202,2688774,248001.26,1632.24,-391384.67,Normal
37,2012-10-26,580538.9750708374,1452345,50956.68,1228.58,-240310.37,Normal
34,2012-10-26,1106639.0125927592,2738221,244149.51,1696.25,-280793.46,Normal
27,2012-10-26,2003695.427116043,4670158,559865.55,2282.46,-102901.6,Normal
22,2012-10-26,1169602.4808073747,2878590,376272.35,1743.84,-163112.69,Normal
23,2012-10-26,1561503.593137178,3767257,582868.49,2014.92,-61381.32,Normal
42,2012-10-26,619051.4036982716,1573746,117286.14,1268.67,-218357.05,Normal
35,2012-10-26,1061499.4274057015,2229719,492926.55,1661.29,386206.4,Low Stock
10,2012-10-26,2111337.907283003,4594436,705314.13,2342.96,333553.94,Low Stock
3,2012-10-26,453312.9587534968,1192423,108084.65,1085.64,-177712.43,Normal
29,2012-10-26,608758.6627028777,1564780,231292.12,1258.08,-115970.55,Normal
31,2012-10-26,1586326.7366695895,3891409,293678.85,2030.87,-425076.68,Normal
14,2012-10-26,2261894.1215754785,4721044,741034.35,2425.06,543778.59,Low Stock
20,2012-10-26,2353271.9519403083,5757135,643800.82,2473.56,-406790.28,Normal
25,2012-10-26,791625.5721302215,1771508,263625.96,1434.65,75369.1,Low Stock
5,2012-10-26,358225.36274555145,823243,88059.75,965.08,-18732.52,Normal
40,2012-10-26,1100521.3509549506,2476217,277685.76,1691.55,2511.46,Low Stock
18,2012-10-26,1194391.9483316059,3251157,412184.55,1762.22,-450188.55,Normal
45,2012-10-26,866192.7463320328,2244891,303742.06,1500.7,-208763.45,Normal
